ts	phase	decision	why	evidence	result
2026-09-12T00:44:14Z	frame	Base v0.2 work on origin/main f1c137b310ad3eac8309e62015ffa8a0664db088 on branch cursor/apple-tv-screenshot-capture-4a5b	Task requires latest main as base and a cursor/ feature branch; never commit to main	git pull --ff-only origin main; git rev-parse HEAD	measured: baseline ruff ok, format ok, pyright 0 errors 17 warnings, pytest 137 passed 4 skipped, git diff --check clean
2026-09-12T00:44:14Z	frame	Definition of done: 14 MCP tools listed; apple_tv_screenshot returns exactly one ImageContent image/png with structured_content None; main package free of pymobiledevice3; sidecar project passes its own gates; root and sidecar gates green; wheel excludes sidecar	Falsifiable predicate per figure-it-out Phase A, derived from SPEC_v0.2 section 41	SPEC_v0.2.md sections 4, 10, 26, 40, 41	planned
2026-09-12T00:44:14Z	frame	POC directory /tmp/appletv-screenshot does not exist; pin pymobiledevice3==11.12.4 in sidecar and report it as unverified on hardware	Task forbids inventing POC facts; 11.12.4 is the latest stable on PyPI and its API names match the pinned reference docs	ls /tmp/appletv-screenshot -> missing; uv pip install pymobiledevice3 resolved 11.12.4; Screenshot.get_screenshot and DvtProvider present in source	inferred: version works for tvOS 17+ screenshot path; not measured on hardware
2026-09-12T00:44:14Z	frame	Apple TV over Wi-Fi reaches RemoteXPC through a native remoted tunnel on macOS or a running privileged tunneld elsewhere; userspace tunnel is not applicable	UserspaceRsdTunnel needs usbmux; Apple TV has no USB data path in this setup	pymobiledevice3 11.12.4 source: remote/native_tunnel.py NativeRemotedTunnel(serial=udid); tunneld/api.py get_tunneld_devices; docs/references ios17-tunnels.md	measured in source; transport auto|native|tunneld designed for sidecar
2026-09-12T00:44:14Z	frame	No Task tool, no deslop skill, no ManagePullRequest tool in this session	Playbook steps referencing them recorded as skip with reason; PR operations use the Github MCP namespace create_pull_request/update_pull_request, not gh	GetDynamicTools catalog lists Github namespace; tool list has no Task or ManagePullRequest	deviation recorded; all diffs authored and reviewed by the one agent
2026-09-12T00:44:14Z	design	Control and observation stay separate: ScreenCaptureService owns a dedicated asyncio.Lock; controller command lock untouched; both meet only in Runtime and AppContext	SPEC_v0.2 sections 7 to 9 and 17; the lock protects a real invariant since one sidecar process owns one tunnel plus DVT session at a time	SPEC_v0.2.md; composition.py Runtime; lifespan.py AppContext	planned
2026-09-12T00:44:14Z	design	Sidecar exit codes are the API; adapter maps codes to domain errors and discards stdout/stderr (DEVNULL)	Task forbids parsing arbitrary stderr; operators diagnose by running appletv-screenshot directly	SPEC_v0.2.md section 11 and 19	planned; a drift test compares the root exit-code table with sidecars/appletv-screenshot exit_codes.py
2026-09-12T00:49:51Z	pr	PR creation via the Github MCP namespace failed with 404 for private repo trevor-nichols/appletv-mcp; branch is pushed; PR create retried at the end and otherwise left to the cloud environment's automatic PR handling	No ManagePullRequest tool exists in this session; gh is read-only and forbidden for PR creation by the task	create_pull_request and list_branches both returned 404 while get_me resolved trevor-nichols; git ls-remote shows the branch at 3f7a9d6	measured; work continues unit by unit
2026-09-12T00:57:58Z	infra	Helper stdin, stdout and stderr all bound to DEVNULL	MCP stdio owns the parent's stdin/stdout; an inherited stdin could consume protocol bytes, and helper stderr may carry tracebacks with pair-record paths	test_helper_noise_never_reaches_logs passes with a helper that prints secrets to both streams	VERIFIED with fake helper
2026-09-12T00:57:58Z	infra	Helper cwd is the per-call temp directory	Stray relative writes by the helper land inside the directory that finally removes	test_success_returns_png_with_fixed_arguments_and_cleans_temp asserts cwd == output.parent and temp root empty	VERIFIED
2026-09-12T00:57:58Z	infra	PNG validation checks signature, IHDR chunk, positive dimensions; no CRC or IEND check	Truncated or foreign files fail; trailing bytes after IEND from the device encoder would still pass, avoiding false negatives on hardware I cannot test	test_png.py	VERIFIED on fixtures; hardware NOT RUN
2026-09-12T00:57:58Z	infra	Spawn failure (OSError such as ENOEXEC) maps to ScreenCaptureUnavailableError	Without it a broken helper install surfaced as a sanitized internal MCP error with no operator hint	test_unstartable_helper_raises_unavailable	VERIFIED
2026-09-12T01:32:37Z	sidecar	Helper CLI has only capture, configure and --version; no devices subcommand	The AMBIGUOUS_DEVICE message already lists visible UDIDs and pymobiledevice3 remote browse exists; a listing command would duplicate both	target.py select_target detail; README Configure section	smaller CLI surface, one fewer thing to test and document
2026-09-12T01:32:37Z	sidecar	Transport auto tries native (macOS only) then tunneld; native forced off macOS exits 13 with a fix	Pinned network-stacks.md: remoted exists only on macOS; tunneld is the documented Apple TV path elsewhere	transport_order tests; real run on Linux exited 13 in 0.5s	one deterministic order per host OS
2026-09-12T01:32:37Z	sidecar	Helper deadline 15s under the MCP default of 20s	The helper should report CAPTURE_TIMEOUT itself instead of being killed by the parent, so the operator sees code 16 not a signal	SidecarConfig.timeout_seconds le=55; ScreenCaptureSettings.timeout_seconds default 20	timeouts nest without overlap
2026-09-12T01:32:37Z	sidecar	configure replaces an unreadable config from defaults with a stderr note	The MCP error for exit 17 tells the operator to run configure; configure must therefore work on a broken file	test_configure_replaces_an_unreadable_file; real run exit 0	exit 17 is always recoverable by the documented command
2026-09-12T01:32:37Z	sidecar	Native pairing failure detected by the message prefix pairing failed on UserspaceTunnelUnavailableError	pymobiledevice3 11.12.4 raises a private _RemotePairingError subclass of UserspaceTunnelUnavailableError with that prefix; no public pairing exception on that path	probe of native_tunnel.py source; classify_tunnel_error tests	PAIRING_REQUIRED surfaces instead of a generic tunnel failure; brittle if upstream changes wording, pinned version makes it stable
2026-09-12T01:32:37Z	sidecar	Test fake RSD subclasses the real RemoteServiceDiscoveryService offline	LockdownServiceProvider.__init__ sets udid and product_type as plain attributes and the RSD constructor opens nothing, so a typed fake needs no type ignore	tests/fakes.py FakeRsd; pyright 0 errors	no type: ignore anywhere in the sidecar
2026-09-12T01:32:37Z	sidecar	CONFIG_INVALID=17 added to both exit-code tables and a root drift test loads the helper table by path	A broken helper config was indistinguishable from a generic failure; the two copies of the table need a mechanical guard	tests/contract/test_helper_contract.py; pytest 196 passed	contract drift fails CI in the MCP repo
2026-09-12T01:32:37Z	ci	Separate CI job for the sidecar with working-directory, plus a wheel check on the root job	The root venv must never install pymobiledevice3; the wheel check proves the sidecar and pymobiledevice3 stay out of the published artifact	.github/workflows/ci.yml	two jobs, each with its own lockfile
2026-09-12T01:40:47Z	docs	SPEC.md keeps the v0.1 non-goal list and annotates screen capture instead of deleting the line	The list is a historical statement about v0.1; SPEC_v0.2 section 38 owns the v0.2 non-goals	SPEC.md section 22	history stays readable, no contradiction
